Categoría,Modelo,AñoModelo,Fabricante,Combustible,TipoMotor,TamañoMotor
SUV,Nexo,2022.0,Hyundai,Hydrogen Fuel Cell,Fuel Cell,120 kW
SUV,Nexo Blue,2022.0,Hyundai,Hydrogen Fuel Cell,Fuel Cell,120 kW
Sedan/Wagon,Santa Fe Hybrid,2022.0,Hyundai,Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Santa Fe Hybrid Blue,2022.0,Hyundai,Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Santa Fe Plug-in Hybrid,2022.0,Hyundai,Plug-in Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Sonata Hybrid,2022.0,Hyundai,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,Sonata Hybrid Blue,2022.0,Hyundai,Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,Tucson Hybrid,2022.0,Hyundai,Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Tucson Hybrid Blue,2022.0,Hyundai,Hybrid Electric,Spark Ignition,1.6L
SUV,Tucson Plug-in Hybrid,2022.0,Hyundai,Plug-in Hybrid Electric,Spark Ignition,1.6L
SUV,E-PACE MHEV,2022.0,Jaguar,Hybrid Electric,Spark Ignition,2.0L
SUV,F-PACE P340 MHEV,2022.0,Jaguar,Hybrid Electric,Spark Ignition,3.0L
SUV,F-PACE P400 MHEV,2022.0,Jaguar,Hybrid Electric,Spark Ignition,3.0L
SUV,Grand Cherokee 4xe,2022.0,Jeep,Plug-in Hybrid Electric,Spark Ignition,2.0L
SUV,Wagoneer 4x2,2022.0,Jeep,Hybrid Electric,Spark Ignition,5.7L
SUV,Wagoneer 4x4,2022.0,Jeep,Hybrid Electric,Spark Ignition,5.7L
SUV,Wrangler 2dr 4x4,2022.0,Jeep,Hybrid Electric,Spark Ignition,3.6L
SUV,Wrangler 4dr 4x4,2022.0,Jeep,Hybrid Electric,Spark Ignition,3.6L
SUV,Wrangler 4dr 4xe,2022.0,Jeep,Plug-in Hybrid Electric,Spark Ignition,2.0L
Sedan/Wagon,EV6 AWD (Long Range) ,2022.0,Kia,Electric,Electric Motor,74 kW
Sedan/Wagon,EV6 RWD,2022.0,Kia,Electric,Electric Motor,125 kW
Sedan/Wagon,EV6 RWD (Long Range) ,2022.0,Kia,Electric,Electric Motor,168 kW
Sedan/Wagon,Niro,2022.0,Kia,Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Niro Electric,2022.0,Kia,Electric,Electric Motor,150 kW
Sedan/Wagon,Niro FE,2022.0,Kia,Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Niro Plug-in Hybrid,2022.0,Kia,Plug-in Hybrid Electric,Spark Ignition,1.6L
Sedan/Wagon,Niro Touring,2022.0,Kia,Hybrid Electric,Spark Ignition,1.6L
SUV,Sorento Hybrid AWD,2022.0,Kia,Hybrid Electric,Spark Ignition,1.6L
SUV,Sorento Hybrid FWD,2022.0,Kia,Hybrid Electric,Spark Ignition,1.6L
SUV,Sorento Plug-in Hybrid,2022.0,Kia,Plug-in Hybrid Electric,Spark Ignition,1.6L
SUV,Defender 110 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,Defender 90 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,Discovery MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,New Range Rover P360 LWB MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
SUV,New Range Rover P360 MHEV,2022.0,Land Rover,Hybrid Electric,Spark Ignition,3.0L
